"columna","valor","valor_nuevo"
"trabajo","blue-collar","1"
"trabajo","technician","2"
"trabajo","management","3"
"trabajo","services","4"
"trabajo","retired","5"
"trabajo","admin.","6"
"trabajo","housemaid","7"
"trabajo","unemployed","8"
"trabajo","entrepreneur","9"
"trabajo","self-employed","10"
"trabajo","unknown","11"
"trabajo","student","12"
"estado_civil","married","1"
"estado_civil","single","2"
"estado_civil","divorced","3"
"estado_civil","unknown","4"
"educacion","preschool","1"
"educacion","unknown","2"
"educacion","university.degree","3"
"educacion","Technological_school","4"
"educacion","tecnical_school","5"
"educacion","professional.course","6"
"educacion","primary_school","7"
"educacion","illiterate","8"
"credito_sin_pago","unknown","0"
"credito_sin_pago","no","1"
"credito_sin_pago","yes","2"
"prestamo_vivienda","unknown","0"
"prestamo_vivienda","no","1"
"prestamo_vivienda","yes","2"
"prestamo_personal","unknown","0"
"prestamo_personal","no","1"
"prestamo_personal","yes","2"
"contacto","cellular","0"
"contacto","telephone","1"
"mes","mar","3"
"mes","aug","8"
"mes","nov","11"
"mes","jun","6"
"mes","apr","4"
"mes","jul","7"
"mes","may","5"
"mes","oct","10"
"mes","sep","9"
"mes","dec","12"
"dia_semana","mon","1"
"dia_semana","tue","2"
"dia_semana","wed","3"
"dia_semana","thu","4"
"dia_semana","fri","5"
