"celsius","fahrenheit"
"368.8821","695.98778"
"58.8109","137.85962"
"239.9288","463.87184"
"55.81605","132.46889"
"427.2861","801.11498"
"141.56155","286.81079"
"300.0449","572.08082"
"325.07485","617.13473"
"237.07555","458.73599"
"374.63635","706.34543"
"432.34295","810.21731"
"223.5301","434.35418"
"112.2946","234.13028"
"280.4884","536.87912"
"401.70675","755.07215"
"167.00605","332.61089"
"157.21325","314.98385"
"214.03525","417.26345"
"228.81065","443.85917"
"478.4238","893.16284"
"66.09855","150.97739"
"474.8524","886.73432"
"119.61135","247.30043"
"141.56995","286.82591"
"229.51445","445.12601"
"391.6331","736.93958"
"400.2368","752.42624"
"177.7394","351.93092"
"360.4309","680.77562"
"345.9739","654.75302"
"373.75725","704.76305"
"354.1136","669.40448"
"54.1376","129.44768"
"294.96305","562.93349"
"331.92635","629.46743"
"107.1347","224.84246"
"326.8274","620.28932"
"417.4229","783.36122"
"395.50835","743.91503"
"211.2475","412.2455"
"337.93145","640.27661"
"464.9738","868.95284"
"305.1412","581.25416"
"369.93345","697.88021"
"169.0874","336.35732"
"281.70245","539.06441"
"404.10415","759.38747"
"447.83035","838.09463"
"112.83615","235.10507"
"293.5093","560.31674"
"178.326","352.9868"
"22.46715","72.44087"
"420.0645","788.1161"
"145.7686","294.38348"
"142.5161","288.52898"
"45.74455","114.34019"
"469.81425","877.66565"
"201.9828","395.56904"
"157.069","314.7242"
"295.6605","564.1889"
"413.22725","775.80905"
"465.86175","870.55115"
"147.1224","296.82032"
"142.2331","288.01958"
"402.72145","756.89861"
"188.4777","371.25986"
"156.96755","314.54159"
"305.30375","581.54675"
"98.041","208.4738"
"382.04215","719.67587"
"480.80405","897.44729"
"302.09755","575.77559"
"83.26725","181.88105"
"247.02","476.636"
"131.90595","269.43071"
"210.90795","411.63431"
"476.4168","889.55024"
"229.46765","445.04177"
"75.20475","167.36855"
"481.3229","898.38122"
"36.2207","97.19726"
"363.67525","686.61545"
"100.7073","213.27314"
"407.98785","766.37813"
"127.55355","261.59639"
"109.4392","228.99056"
"270.21645","518.38961"
"345.86215","654.55187"
"486.64665","907.96397"
"412.23435","774.02183"
"348.8369","659.90642"
"295.092","563.1656"
"130.4104","266.73872"
"445.5517","833.99306"
"306.698","584.0564"
"232.74775","450.94595"
"128.82425","263.88365"
"264.2612","507.67016"
"150.4442","302.79956"
"410.92895","771.67211"
"240.76795","465.38231"
"55.07635","131.13743"
"2.65505","36.77909"
"272.5269","522.54842"
"303.66765","578.60177"
"466.16285","871.09313"
"160.7685","321.3833"
"451.17035","844.10663"
"419.3892","786.90056"
"55.56745","132.02141"
"183.96625","363.13925"
"196.92275","386.46095"
"315.22425","599.40365"
"252.8903","487.20254"
"394.48895","742.08011"
"323.8644","614.95592"
"279.4022","534.92396"
"352.50265","666.50477"
"272.55135","522.59243"
"349.21465","660.58637"
"89.4817","193.06706"
"447.6816","837.82688"
"406.7894","764.22092"
"263.18005","505.72409"
"167.37365","333.27257"
"145.69895","294.25811"
"154.7408","310.53344"
"222.6757","432.81626"
"271.74565","521.14217"
"339.08875","642.35975"
"178.47435","353.25383"
"255.72465","492.30437"
"264.09405","507.36929"
"178.93035","354.07463"
"176.10355","348.98639"
"155.171","311.3078"
"468.24835","874.84703"
"21.6971","71.05478"
"12.94165","55.29497"
"205.8829","402.58922"
"410.50635","770.91143"
"60.7855","141.4139"
"293.24595","559.84271"
"309.53485","589.16273"
"486.87375","908.37275"
"414.37555","777.87599"
"247.9346","478.28228"
"181.75645","359.16161"
"218.9548","426.11864"
"292.2629","558.07322"
"356.8979","674.41622"
"422.1425","791.8565"
"175.96305","348.73349"
"209.1298","408.43364"
"209.67975","409.42355"
"106.4615","223.6307"
"147.50295","297.50531"
"104.98485","220.97273"
"429.6893","805.44074"
"36.48375","97.67075"
"69.198","156.5564"
"244.8127","472.66286"
"378.82875","713.89175"
"440.2498","824.44964"
"177.6587","351.78566"
"472.86755","883.16159"
"291.3593","556.44674"
"127.64875","261.76775"
"252.52935","486.55283"
"497.10215","926.78387"
"58.63305","137.53949"
"103.47955","218.26319"
"175.88225","348.58805"
"106.637","223.9466"
"153.5888","308.45984"
"318.14825","604.66685"
"261.67905","503.02229"
"420.8512","789.53216"
"76.97175","170.54915"
